순위,UUID,닉네임,점수,
352,e1b89230-62f3-11f0-b0ed-4f363a974319,0l욜,245,
352,d7f99240-65c7-11f0-affa-eb5175889e94,티반,245,
352,a1897430-630d-11f0-b218-43a24c54b5c1,자갈치700원,245,
352,91b11b60-63e1-11f0-981c-6918ebc09e55,아리오나,245,
352,718a59f0-6319-11f0-973d-8fd00d5d3e51,하나공공,245,
352,56f27910-62fb-11f0-b7c2-5907d7ac5d60,곽두,245,
352,541489b0-623b-11f0-853f-4567daacb8e8,뚜라,245,
352,42550350-62ac-11f0-9f5f-eba69ae2db8d,롯케,245,
352,3c8b4650-62f7-11f0-a53e-f720860fcc8a,Atom,245,
352,20ad51d0-6392-11f0-8ad1-495afdf38cf0,주식,245,
352,1129aba0-6298-11f0-bcbb-714564b525f4,S썽아찌S,245,
352,04f03720-63fe-11f0-83b6-f799b6a4bcd6,탄코,245,
352,04a85430-62f7-11f0-b7c2-5907d7ac5d60,다누파,245,
352,01bc0b50-6508-11f0-846f-13edae8f7606,구름꽃,245,
369,e325adc0-6356-11f0-a70b-97528033efd5,진달래꽃,244,
369,d7133b60-63ce-11f0-99a0-f791fadc47f8,치매,244,
371,edf0c530-6461-11f0-bc47-19466fc08ada,달콩집사,243,
371,cfaab5f0-642e-11f0-83ae-cb0d7c1d5c99,흑천왕,243,
371,ab2a46e0-6330-11f0-9145-a52c50a03179,둘리동욱,243,
371,7cab0f50-630f-11f0-b218-43a24c54b5c1,디비자라,243,
371,6bda4cf0-6408-11f0-a3ab-515b7dbdbb4f,으누,243,
371,24782580-621e-11f0-9813-b7579b20c221,문도광,243,
